utt,Speaker name,TTS or VC,Is multi-speaker?,Language,Gender,Age,Noise type 1,Noise type 2,Noise type 3,Source link,Collector,label,vocosig_feat_embedded,aasistssl_feat_embedded,btse_feat_embedded
FreddieMercury_AIcover_oortCloud_4,Freddie Mercury,VC,No,Mixed,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=ARgjMf-76-c,WOONGJAE LEE,spoof,[ 14.6244335 -25.180065 ],[-15.55811  24.74426],[ -8.225608 -52.512184]
pullnpush_7,TTS_pullnpush,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=M347-xlaVqs,WOONGJAE LEE,spoof,[-0.40403825 44.847     ],[ 33.138664 -13.961192],[ 23.897718 -14.589396]
typecast_changbae_1,TTS_changbae,TTS,No,Korean,Male,Elder,-,-,-,https://app.typecast.ai/ko/editor/652e2efd0307cc9327e94b41,WOONGJAE LEE,spoof,[ 3.9875367 42.90618  ],[-25.993578   6.283614],[17.435072 45.358044]
20230919_ytn_weather_5,WEATHER CASTER,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=QmLCe6Io-TA,KWONWOO JEONG,bonafide,[40.4047   14.395971],[-50.973225 -26.40915 ],[13.9953165 51.808655 ]
20230925_sbsnews6_3,SON SEUNGWOOK,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=4jsXXJs2t5g,KWONWOO JEONG,bonafide,[50.036427  -7.1131086],[-10.599826  38.15532 ],[-42.475838    1.2402414]
bdns_lgtwins_10,MOON SANGHOON,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=7E4DfSFMcwU,KWONWOO JEONG,bonafide,[-20.682802  -4.153582],[-40.663303   -2.9953105],[16.337282  -1.6466097]
TED_Rabbit_7,Alex Gendler,-,No,English,Male,Adult,-,-,-,https://youtu.be/XU5L4Sr93-g?si=NiVc1CPHATlgRSjw,INSEOK LEE,bonafide,[-6.345772 46.523827],[22.217077 49.66978 ],[15.669077 16.361004]
230920_SBS_japan_5,Park Sang Jin,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=KjmbHByLnT0,WOONGJAE LEE,bonafide,[22.94293  33.583073],[ 23.173845 -14.999168],[35.928802   4.6976557]
YTNScienceToday_Love_10,Lee HyoJong,-,No,Korean,Male,Adult,Music,Sound effect,-,https://youtu.be/2KKk6ySUPjI?si=AoQyUOl42uqsx5dx,INSEOK LEE,bonafide,[-33.55052    8.973552],[-16.581347  26.72588 ],[-33.831776 -35.25624 ]
Double_6,TTS_Baseball,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/SSgZZeVSFBs?si=7wHRf6tDCCSr6Xzk,INSEOK LEE,spoof,[23.008368   3.5917413],[ 47.246155 -18.140032],[ 9.690065 52.619514]
KBS_Soccer_Barain_5,Nam HyunJong,-,No,Korean,Male,Adult,Music,Crowded,-,https://youtu.be/k8duJ8fZTgA?si=lxYjhy3uhkb8MgAl,INSEOK LEE,bonafide,[ 5.3526306 -7.0713205],[ 24.054813 -27.459583],[-13.362279 -45.86089 ]
pullnpush_3,TTS_pullnpush,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=M347-xlaVqs,WOONGJAE LEE,spoof,[-27.929625  40.62056 ],[ 38.262962 -10.336468],[16.044842 43.971497]
2020president_chusuk_2,MOON JAEIN,-,No,Korean,Male,Adult,Music,Random noise,-,https://www.youtube.com/watch?v=-9XooEGlqOw,KWONWOO JEONG,bonafide,[-20.49674   -8.749098],[-50.221592 -20.380615],[  0.11434305 -56.703354  ]
GGTIP_10_8,TTS_GGTIP,TTS,Yes,Korean,Male,Mix,-,-,-,https://youtu.be/9K9VocpSsgU?si=o708JGHGOSV3UECz,INSEOK LEE,spoof,[-49.4668     -4.6212416],[-15.652926  38.539753],[ -9.819047 -55.61395 ]
elle_yeji_5,YEJI,-,No,Korean,Female,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=f3-sOcpMexE,KWONWOO JEONG,bonafide,[-23.717108  44.217136],[16.403833 50.03737 ],[  0.14802383 -18.932644  ]
230723_Physical_3,Kim Egg,-,No,Korean,Male,Adult,Sound effect,-,-,https://www.youtube.com/watch?v=iG4gb4UMV8g,WOONGJAE LEE,bonafide,[-35.55897  -25.133461],[-16.074102  25.678648],[-32.017075 -41.413692]
YounHa_AIcover_sim_4,YounHa,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=LWPf7l3-W_A,WOONGJAE LEE,spoof,[-15.064682  13.863392],[28.444601 32.594307],[-29.787374 -44.96976 ]
20230927_sbsmorning_8,GO HYUNJUN,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=WlZ-5HVm4O0,KWONWOO JEONG,bonafide,[ 52.16164  -19.785347],[-28.69993    8.553757],[15.818136 47.678757]
TAKGUYAKI_4,TTS_TAKGUYAKI,TTS,Yes,Korean,Female,Adult,Music,Crowded,-,https://www.youtube.com/watch?v=mK66dKyyzm4,WOONGJAE LEE,spoof,[ 3.0728579 -1.2667465],[ 20.103529 -28.183048],[18.791769  9.645463]
20230925_sbsnews4_10,AHN SANGWOO,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=l-X7q9Pu4iQ,KWONWOO JEONG,bonafide,[ 52.363197 -21.58192 ],[-39.18263     3.9355626],[19.194986 49.36463 ]
GScampus_3,GScampus,TTS,No,Korean,Female,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=eXcekCx7Bxo,WOONGJAE LEE,spoof,[-47.714886  -2.160688],[-32.06592   12.074969],[33.580734   -0.34269246]
TAKGUYAKI_8,TTS_TAKGUYAKI,TTS,No,Korean,Female,Adult,Music,Crowded,-,https://www.youtube.com/watch?v=mK66dKyyzm4,WOONGJAE LEE,spoof,[ 4.0383515 -2.8988104],[ 12.831156 -24.269274],[-18.775257 -52.63389 ]
20210702_AI_ANCHOR_9,KIM JOOHA,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=cHo83zJ5CZk,KWONWOO JEONG,spoof,[-4.0722847 10.796079 ],[-50.03789  -35.960712],[ 13.242959 -58.751293]
World_Running_Time_10,World_Running_Time,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=4bd32kKBGhs,WOONGJAE LEE,spoof,[-31.848644   9.778014],[ 40.82277  -26.573895],[ 4.7899528 52.74539  ]
AI_PARKMYUNGSOO_NEWJEANS_3,PARK MYUNGSOO,VC,No,Mixed,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=aI7C5zK_2Ns,KWONWOO JEONG,spoof,[ -2.2419696 -51.46513  ],[-21.001678  14.258606],[-19.98519  -12.199674]
Obama_DNC_Speech_1,Obama,-,No,English,Male,Adult,Music,Reverb,-,https://youtu.be/t7pc2j5OGp8?si=6pd_oyj8ZCWG8hsI,INSEOK LEE,bonafide,[-33.164604  24.386166],[ 0.15916406 -8.652496  ],[-34.937534 -35.76163 ]
Frontyard_4,TTS_issue,TTS,No,Korean,Female,Teenager,Music,Random noise,-,https://www.youtube.com/watch?v=eXcekCx7Bxo,INSEOK LEE,spoof,[-5.6667757 11.873286 ],[  0.73422587 -19.285948  ],[-16.860544 -50.2223  ]
chuucandoit_hair_9,Chuu ( Kim Ji Woo ),-,Yes,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=7MihoRON4ew,WOONGJAE LEE,bonafide,[-30.914452  36.61127 ],[-10.671483  41.92919 ],[-21.693491    5.2744613]
pullnpush_4,TTS_pullnpush,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=M347-xlaVqs,WOONGJAE LEE,spoof,[-47.667095 -19.20878 ],[ 39.478897 -10.368431],[ 12.441283 -62.57856 ]
kkultube_6,TTS_kkultube,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=Vo9B_QDr0Vc,WOONGJAE LEE,spoof,[2.339085   0.09404878],[  5.957065 -19.005903],[-39.639446    0.5546506]
Obama_DNC_Speech_4,Obama,-,No,English,Male,Adult,Music,Reverb,Crowded,https://youtu.be/t7pc2j5OGp8?si=6pd_oyj8ZCWG8hsI,INSEOK LEE,bonafide,[ 7.7224083 40.71388  ],[ 13.424675 -26.859745],[-29.838776 -40.566433]
ESPN_POGBA_5,FRANK,-,No,English,Male,Elder,-,-,-,https://youtu.be/JdIZ7cBvmu8?si=jl_gXcqGS70fLg5Y,INSEOK LEE,bonafide,[48.877     -3.0806282],[38.0979   22.202368],[-52.98556    5.132428]
230922_ImYuJin_6,Im YuJin,-,No,Korean,Female,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=oWPOODlfZMU,WOONGJAE LEE,bonafide,[ 14.932483 -45.912636],[-29.202776  12.932607],[-43.521313   9.875809]
brothers_karamazov_maleAI_2,TTS_MALE,TTS,No,English,Male,Adult,-,-,-,Text to Speech Program,KWONWOO JEONG,spoof,[14.491787 36.598366],[-51.208298 -32.524853],[-7.256781 42.066753]
TED_Cuddly_6,Dan Finkel,-,No,English,Male,Adult,Random noise,-,-,https://youtu.be/z-ZEfxAL9SI?si=ELtooN9Nlz1SMAHp,INSEOK LEE,bonafide,[25.405645 29.670937],[-12.10605  41.93372],[29.553823 -9.60898 ]
YTNScienceToday_Love_8,Lee HyoJong,-,No,Korean,Male,Adult,Music,-,-,https://youtu.be/2KKk6ySUPjI?si=AoQyUOl42uqsx5dx,INSEOK LEE,bonafide,[-20.980583  -12.6642685],[-15.718232  26.04562 ],[-51.45453     7.7906184]
AhnJiyoung_AIvoice_thorn_8,AhnJiyoung,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=E8uGWfCLe7I&list=PLd3BT7SpH7glxZNzZ3YtOKEWaWUhskaWv&index=6,WOONGJAE LEE,spoof,[ 14.376173 -25.388515],[17.98496 50.68708],[-21.072414 -51.69722 ]
221124_Hansal_6,HaRu,-,No,Korean,Female,Adult,Random noise,-,-,https://www.youtube.com/watch?v=EGegU_bsZMs,WOONGJAE LEE,bonafide,[ 13.168246 -21.710377],[ 37.9092   -24.693218],[  2.4916542 -60.412697 ]
ggondaehee_moonseyoon_4,Moon Se Yoon,-,No,Korean,Male,Adult,Reverb,-,-,https://www.youtube.com/watch?v=nXdwi_PS2p8,WOONGJAE LEE,bonafide,[23.884594   0.9692868],[-48.27883 -34.02575],[12.657174 21.103855]
20200908_chungju_6,KIM SUNTAE,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=NbHVvd82bsE,KWONWOO JEONG,bonafide,[-30.368309  37.74621 ],[ 28.347569 -20.355293],[15.920687 47.628864]
bbc_news_korea_northkorea_2,Jean Mackenzie,-,No,English,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=R8BXubXr5qQ,WOONGJAE LEE,bonafide,[33.19897  21.848198],[37.885757 19.311731],[-53.41964     7.4953938]
SportsOneChaser_10,TTS_SportsOneChaser,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=eEm-nvXFzsE,WOONGJAE LEE,spoof,[-50.671417 -11.169492],[  0.7535608 -18.419502 ],[32.83002  34.151817]
baseballgame_8,SPORT CASTER,-,Yes,Korean,Male,Adult,Crowded,-,-,https://m.sports.naver.com/video/1106698,KWONWOO JEONG,bonafide,[-21.149542  12.882845],[ -0.68340164 -20.977438  ],[-23.059689 -47.49717 ]
20230927_sbsmorning_4,GO HYUNJUN,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=WlZ-5HVm4O0,KWONWOO JEONG,bonafide,[49.842396  -7.8309293],[-48.654354 -29.951824],[ 0.6380223 51.594135 ]
ggondaehee_moonseyoon_6,Moon Se Yoon,-,No,Korean,Male,Adult,Reverb,-,-,https://www.youtube.com/watch?v=nXdwi_PS2p8,WOONGJAE LEE,bonafide,[ -7.027329 -44.598335],[-7.6082954 28.113506 ],[-29.298092  10.909036]
BrunoMars_Hypeboy_4,Bruno Mars,VC,No,Mixed,Male,Adult,Music,-,-,https://youtu.be/ge0Lw5I1Tw8?si=VRepHqLMng0J5AM8,INSEOK LEE,spoof,[ 5.756413 -8.563263],[25.407694 42.918198],[-3.3451028  1.7908326]
YumiPick_8,TTS_Chutul,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/5_U7HiM_ZGE?si=a6Wh79Y-9N51GhZS,INSEOK LEE,spoof,[-27.275877 -22.869667],[  8.730919 -18.948372],[-27.131947  -7.866227]
World_Running_Time_8,World_Running_Time,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=4bd32kKBGhs,WOONGJAE LEE,spoof,[ 0.52000546 44.61195   ],[-45.979782 -11.585211],[37.03507  24.728025]
2022_03_13_AI_WEATHER_3,YOO SEUNGMIN,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=E1XjlH0eiCM,KWONWOO JEONG,spoof,[-35.023792 -25.155243],[-48.838436 -36.707264],[12.061644 50.984013]
20230925_ytnweather_6,YOON SUBIN,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=OMVqiMlq5dY,KWONWOO JEONG,bonafide,[ 51.16438  -13.076198],[-52.173378 -23.770319],[25.334127 45.238644]
201127_ItalyFabri_7,Fabri,-,No,Mixed,Male,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=uhJpo8si6-4,WOONGJAE LEE,bonafide,[-32.990856  28.01593 ],[30.627197 29.842245],[-39.25785  -31.825817]
2022_01_21_AI_YOON_2,YOON SUKYOUL,TTS,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=KUNWa5UjxSg,KWONWOO JEONG,spoof,[24.325768  -3.6352959],[ 22.241503  -14.8537245],[ 20.00541 -54.34316]
20230913_sbs_news_militaryminister_5,MALE NEWSCASTER,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=NdQ0pVzHkjg,KWONWOO JEONG,bonafide,[-35.573124 -24.996393],[ 45.68885  -21.001198],[ 9.060968 38.96386 ]
YounHa_AIcover_sim_9,YounHa,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=LWPf7l3-W_A,WOONGJAE LEE,spoof,[ 13.826439 -23.991762],[26.838558 37.111332],[-30.396439 -41.593403]
2021_11_22_AI_WEATHER_1,YOO SEUNGMIN,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=KRpUZzI-sI0,KWONWOO JEONG,spoof,[13.15672  37.509514],[-54.539818 -29.729944],[12.062888 27.437893]
Conan_WhiteHouseSpeech_1,Conan,-,No,English,Male,Adult,Crowded,Reverb,-,https://youtu.be/mAMN2ffEUBc?si=M-J1s6UXU0azTzrH,INSEOK LEE,bonafide,[49.66046   -2.8170834],[-38.535114    5.9326057],[-48.263237   8.830444]
230511_DexInterView_9,Dex,-,No,Korean,Male,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=WzOrmd4kMqo,WOONGJAE LEE,bonafide,[46.914173   1.4591069],[-6.1682444 -4.84568  ],[15.891835  -2.4898307]
choigangbaseball_talk_9_8,Jung YongGum,-,No,Korean,Male,Adult,Music,Crowded,Sound effect,https://youtu.be/tQEXsNWLF5g?si=z47ch3ZY0CO1tonY,INSEOK LEE,bonafide,[ 17.476402 -31.707684],[-48.18112     4.1079087],[-8.804024   3.8704765]
youquiz_EP191_4,Yoo Jae Seok,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=chXZVXYTVU4,WOONGJAE LEE,bonafide,[23.113787 31.657076],[-49.916245   -3.2207084],[34.387516   4.8728404]
BrunoMars_AIcover_EentHorizon_5,Bruno Mars,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=m5mQ2aL2Mkg,WOONGJAE LEE,spoof,[-0.1582515  5.6359715],[-8.656798 47.65215 ],[ 15.798758 -12.723251]
KBS_Soccer_Barain_1,Lee YoungPyo,-,No,Korean,Male,Adult,Music,-,-,https://youtu.be/k8duJ8fZTgA?si=lxYjhy3uhkb8MgAl,INSEOK LEE,bonafide,[-26.944206  41.913826],[-11.947044  42.533836],[-14.659514  -8.432226]
Mark_Zuckerberg_Harvard_Address_2,Mark Zuckerberg,-,No,English,Male,Adult,Music,-,-,https://youtu.be/C5pPsmqwEis?si=nAFaO_bgwNUjAXZr,INSEOK LEE,bonafide,[-20.809341  -9.817973],[34.021038 28.327227],[-44.40751   9.45222]
KwonEunBi_4,TTS_Human_Addict,TTS,No,Korean,Female,Adult,Music,-,-,https://youtu.be/Bxmnp2fzf4g?si=8lKrCLJqyPpqekFb,INSEOK LEE,spoof,[-19.829407  46.525883],[-5.8494935 52.7887   ],[34.638844  -3.0579545]
Yonsei_1,TTS_Dream,TTS,No,Korean,Male,Adult,Music,-,-,https://youtube.com/shorts/eQq13HHCD28?si=wHwMClvf_peHRsYS,INSEOK LEE,spoof,[ -3.808636 -31.117573],[ 29.147133 -20.970345],[13.003507  2.913594]
nbaissue_6,nbdeokhoo,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=NeMWHCo8bYM,INSEOK LEE,bonafide,[-23.536625 -19.162504],[-49.258003 -16.510881],[32.49771  -5.838502]
20230507_chuninbeom_7,CHUN INBEOM,-,No,Korean,Male,Elder,Random noise,-,-,https://www.youtube.com/watch?v=XnkU2__-S3I,KWONWOO JEONG,bonafide,[33.884987 23.012535],[-13.305934  39.90916 ],[  9.884336 -58.71996 ]
hotsikdang_ramen_7,Kim Seon eung,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=HuJnbybtB0o,WOONGJAE LEE,bonafide,[ -6.835037 -44.843994],[-25.748566  15.448693],[-14.02851    7.766656]
kkultube_5,TTS_kkultube,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=Vo9B_QDr0Vc,WOONGJAE LEE,spoof,[ 5.941189 -9.879692],[ 32.15863  -24.731888],[ -7.2419586 -17.185617 ]
BrunoMars_AIcover_EentHorizon_4,Bruno Mars,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=m5mQ2aL2Mkg,WOONGJAE LEE,spoof,[  2.3446016 -52.28456  ],[-10.925645  33.801697],[-19.825699 -50.78734 ]
