sid,utt,codec,src,attack,label,trimed,subset,vocoder,s1,s2,s3,s4,btse_feat_embedded,aasistssl_feat_embedded,vocosig_feat_embedded
VCC2TF1,DF_E_4616081,low_ogg,vcc2018,HUB-N04,spoof,notrim,eval,traditional_vocoder,HUB,N04,FF,-,[64.808876 27.54394 ],[31.456348  -0.2800462],[58.448177  9.062637]
TEF1,DF_E_2314147,mp3m4a,vcc2020,Task1-team30,spoof,notrim,eval,unknown,Task1,team30,MF,E,[35.123684 -6.480983],[-48.621334  -7.259005],[28.731525 21.157951]
LA_0026,DF_E_2879145,low_mp3,asvspoof,A07,spoof,notrim,progress,traditional_vocoder,-,-,-,-,[-32.757545 -26.56186 ],[ 30.321365 -51.892   ],[-63.596264 -50.319653]
TFM1,DF_E_3120797,nocodec,vcc2020,Task2-team06,spoof,notrim,eval,traditional_vocoder,Task2,team06,MM,F,[-34.025566 -72.17694 ],[27.83064  39.707073],[-39.015217  23.09515 ]
TFM1,DF_E_4549567,high_ogg,vcc2020,Task2-team10,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team10,MM,F,[-17.853935 -33.235073],[-53.275887 -20.768997],[54.989212  4.114846]
LA_0030,DF_E_4353568,high_mp3,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[ -3.8494158 -95.0977   ],[ -5.687542 -86.11968 ],[-60.62849   35.472954]
TMF1,DF_E_2442730,mp3m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,[57.283333 59.54805 ],[-8.982329 82.7504  ],[-37.229145  76.96509 ]
VCC2TM1,DF_E_2638754,oggm4a,vcc2018,HUB-N15,spoof,notrim,eval,traditional_vocoder,HUB,N15,FM,-,[-24.120377 -63.993423],[ 7.5443645 40.9413   ],[-91.6958    15.044053]
VCC2TF2,DF_E_3713068,low_mp3,vcc2018,HUB-D01,spoof,notrim,eval,traditional_vocoder,HUB,D01,FF,-,[ 57.449184 -54.467518],[30.000036 47.1055  ],[  3.486936 -15.470828]
VCC2TF1,DF_E_3325111,low_ogg,vcc2018,HUB-N15,spoof,notrim,eval,traditional_vocoder,HUB,N15,FF,-,[ 24.348284 -33.99715 ],[ 52.7733   -15.714455],[68.76648   7.616915]
VCC2TM2,DF_E_3131163,mp3m4a,vcc2018,HUB-N17,spoof,notrim,eval,neural_vocoder_autoregressive,HUB,N17,MM,-,[-37.462967  55.05744 ],[-12.182167  -3.810804],[ 47.632423 -44.33546 ]
TEF1,DF_E_3542146,low_m4a,vcc2020,Task1-team29,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team29,FF,E,[82.859146 28.23637 ],[ 1.8170246 85.33104  ],[-57.44033   14.437907]
TFM1,DF_E_2748601,oggm4a,vcc2020,Task2-team18,spoof,notrim,eval,unknown,Task2,team18,MM,F,[-0.81639236  4.554781  ],[25.132168 40.772514],[ 4.304816 51.35513 ]
VCC2TM1,DF_E_2055609,low_mp3,vcc2018,HUB-N16,spoof,notrim,eval,traditional_vocoder,HUB,N16,MM,-,[ 59.10862 -42.76002],[36.726894 40.967552],[58.265182 14.642198]
TEF1,DF_E_4403422,low_m4a,vcc2020,Task1-team12,spoof,notrim,eval,traditional_vocoder,Task1,team12,FF,E,[67.94405  -8.841707],[-1.5017681 45.273476 ],[ 12.324685 -65.90561 ]
TEF1,DF_E_3332619,high_mp3,vcc2020,Task1-team11,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team11,MF,E,[25.72712 63.76707],[-65.91405     5.1390615],[-40.64107  -33.875046]
VCC2SF4,DF_E_4878812,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 25.386179 -66.46722 ],[-32.591152 -75.63637 ],[-47.86432  65.29399]
TEF1,DF_E_2932955,low_mp3,vcc2020,Task1-team26,spoof,notrim,eval,traditional_vocoder,Task1,team26,FF,E,[ 38.393055 -46.780674],[ 18.323975 -34.061787],[-26.548773  39.573105]
LA_0008,DF_E_4250494,oggm4a,asvspoof,A13,spoof,notrim,eval,traditional_vocoder,-,-,-,-,[ 7.8669586 74.45324  ],[ 14.807443 -21.340012],[23.991922  9.490018]
TEM1,DF_E_2796010,low_ogg,vcc2020,Task1-team18,spoof,notrim,eval,unknown,Task1,team18,MM,E,[-82.81306     3.3926706],[44.85507 43.42967],[-35.572918 -26.803577]
LA_0008,DF_E_2279566,low_mp3,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[ 12.65405 -76.79896],[-10.546566 -84.5879  ],[-50.571453  62.70964 ]
TEM2,DF_E_2828218,low_mp3,vcc2020,Task1-team16,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team16,MM,E,[  0.07206061 -38.345917  ],[-9.982828 -2.223979],[ 8.616291 56.831158]
VCC2TF2,DF_E_4606170,nocodec,vcc2018,SPO-N12,spoof,notrim,eval,traditional_vocoder,SPO,N12,MF,-,[ 31.869457 -22.47608 ],[ 46.67755  -25.149282],[11.032835 70.38714 ]
VCC2TM1,DF_E_3021390,nocodec,vcc2018,SPO-N11,spoof,notrim,eval,traditional_vocoder,SPO,N11,FM,-,[74.16073  -3.818162],[ 4.283819 56.00113 ],[ 24.51349  -86.053116]
VCC2TM1,DF_E_3542417,nocodec,vcc2018,HUB-N15,spoof,notrim,eval,traditional_vocoder,HUB,N15,FM,-,[-39.772755 -26.72375 ],[16.184124   2.5442407],[-33.03084   -9.701976]
TEF2,DF_E_3957158,oggm4a,vcc2020,Task1-team24,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team24,MF,E,[-33.195805 -25.137379],[-36.732594 -31.91237 ],[-40.258026 -28.82746 ]
VCC2TF1,DF_E_2228706,high_mp3,vcc2018,SPO-N18,spoof,notrim,eval,traditional_vocoder,SPO,N18,MF,-,[-33.944576 -22.21076 ],[ 41.68075  -16.824364],[84.18424  -2.931536]
TMF1,DF_E_2569302,low_m4a,vcc2020,Task2-team29,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team29,MF,M,[79.476456 19.54623 ],[ 1.2792314 82.28358  ],[-59.2015    12.202498]
LA_0021,DF_E_2379420,low_m4a,asvspoof,A08,spoof,notrim,eval,neural_vocoder_nonautoregressive,-,-,-,-,[40.34376    2.3417683],[-12.4061985 -14.502744 ],[62.84993 37.87063]
TGF1,DF_E_3722287,nocodec,vcc2020,Task2-team09,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team09,MF,G,[-19.700785  17.365776],[ 41.238277 -36.128326],[21.648344 16.362452]
LA_0003,DF_E_3804611,low_m4a,asvspoof,A10,spoof,notrim,progress,neural_vocoder_autoregressive,-,-,-,-,[ 28.51422  -61.190483],[-35.649902 -73.88764 ],[34.98548 65.04373]
TMF1,DF_E_3404405,high_m4a,vcc2020,Task2-team11,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team11,MF,M,[-14.564258  75.740654],[-46.99751      0.78743064],[-0.1647901  8.391477 ]
TEF1,DF_E_2505732,high_mp3,vcc2020,Task1-team31,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team31,FF,E,[ 30.746027 -25.620039],[-52.73994  -20.792023],[26.55263   8.278678]
LA_0010,DF_E_4045133,low_m4a,asvspoof,A14,spoof,notrim,progress,traditional_vocoder,-,-,-,-,[  8.906272 -56.34844 ],[ 16.653467 -59.204086],[-28.759216  47.2727  ]
LA_0048,DF_E_4103846,mp3m4a,asvspoof,A11,spoof,notrim,eval,traditional_vocoder,-,-,-,-,[ 33.408516 -55.13278 ],[-39.634018 -69.47233 ],[-89.33041   17.964975]
LA_0041,DF_E_4625285,low_mp3,asvspoof,A17,spoof,notrim,progress,traditional_vocoder,-,-,-,-,[ 53.0673   -14.366989],[-29.37793   32.845596],[ 43.752235 -40.4267  ]
VCC2TF1,DF_E_2401348,high_m4a,vcc2018,SPO-N04,spoof,notrim,eval,traditional_vocoder,SPO,N04,MF,-,[1.4421529 7.443772 ],[14.99048 39.58726],[10.135862  2.726798]
LA_0005,DF_E_2452433,high_m4a,asvspoof,A16,spoof,notrim,eval,waveform_concatenation,-,-,-,-,[12.015319   2.9905071],[-45.393288  -9.574978],[-68.636345   9.883466]
LA_0046,DF_E_3587934,mp3m4a,asvspoof,A11,spoof,notrim,eval,traditional_vocoder,-,-,-,-,[82.18423  26.694633],[-54.498745  33.22777 ],[54.85139    -0.23196197]
VCC2TF2,DF_E_2416511,mp3m4a,vcc2018,HUB-D01,spoof,notrim,eval,traditional_vocoder,HUB,D01,FF,-,[-12.5162     6.136597],[ 34.848576 -26.611322],[-59.377907 -31.26287 ]
TFF1,DF_E_4904351,mp3m4a,vcc2020,Task2-team13,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team13,MF,F,[-37.268436    3.7319477],[ 21.693977 -48.762024],[ 6.741693 56.359562]
LA_0021,DF_E_4905023,high_m4a,asvspoof,A15,spoof,notrim,progress,neural_vocoder_autoregressive,-,-,-,-,[54.34362  36.667515],[-44.627373 -45.60771 ],[-60.74853  -42.454056]
VCC2TF1,DF_E_2947001,oggm4a,vcc2018,SPO-N06,spoof,notrim,eval,traditional_vocoder,SPO,N06,FF,-,[-56.63253   -5.697569],[ 36.055363 -19.36594 ],[ 8.001703 -6.808705]
VCC2TF2,DF_E_2497724,high_ogg,vcc2018,SPO-N13,spoof,notrim,eval,traditional_vocoder,SPO,N13,FF,-,[-13.060924    1.2708479],[ 39.003876 -26.756527],[ 83.79921  -13.351277]
TEF2,DF_E_4346072,low_ogg,vcc2020,Task1-team24,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team24,MF,E,[  9.81513  -51.161137],[ 14.164399 -24.812824],[ 39.649284 -60.782406]
TGM1,DF_E_2814435,low_ogg,vcc2020,Task2-team22,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team22,FM,G,[ 85.73706  -11.178402],[-28.48589   32.549587],[72.44146    7.9154496]
LA_0018,DF_E_4962892,oggm4a,asvspoof,A11,spoof,notrim,eval,traditional_vocoder,-,-,-,-,[70.89386  50.616272],[-37.88826 -73.13981],[-56.92041  17.11286]
TGM1,DF_E_2421383,low_mp3,vcc2020,Task2-team22,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team22,FM,G,[27.757984 59.042305],[22.814184 28.606329],[-32.00826   25.243847]
VCC2TM1,DF_E_4112540,low_m4a,vcc2018,HUB-N18,spoof,notrim,eval,traditional_vocoder,HUB,N18,FM,-,[-5.621371 26.350285],[-2.6247828 10.6318035],[84.81548   -1.2854904]
LA_0028,DF_E_2756761,nocodec,asvspoof,A19,spoof,notrim,progress,traditional_vocoder,-,-,-,-,[ 86.40884   -13.6880865],[-27.360739  38.977634],[-94.70279   11.335498]
LA_0011,DF_E_3920336,low_m4a,asvspoof,A07,spoof,notrim,progress,traditional_vocoder,-,-,-,-,[-2.809112 90.833466],[-39.27548  -37.588684],[-19.209105 -34.202076]
LA_0001,DF_E_3599783,nocodec,asvspoof,A17,spoof,notrim,progress,traditional_vocoder,-,-,-,-,[-80.543274 -31.144903],[-27.897472  37.37474 ],[ 14.819964 -56.644203]
LA_0023,DF_E_4744774,nocodec,asvspoof,A11,spoof,notrim,progress,traditional_vocoder,-,-,-,-,[27.178284 81.031   ],[-13.860892  78.3136  ],[-60.92122  -44.704937]
TGM1,DF_E_4191230,nocodec,vcc2020,Task2-team25,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team25,MM,G,[-74.11478   32.361637],[-35.741554   8.73718 ],[5.220799  9.7556305]
VCC2TM2,DF_E_4005655,nocodec,vcc2018,HUB-N17,spoof,notrim,eval,neural_vocoder_autoregressive,HUB,N17,FM,-,[ 62.572433 -51.37786 ],[-17.556458  37.661022],[-43.608963  25.173588]
VCC2TM1,DF_E_2506595,mp3m4a,vcc2018,SPO-N17,spoof,notrim,eval,neural_vocoder_autoregressive,SPO,N17,FM,-,[-15.817267  14.025696],[ 4.9692745 40.22179  ],[ -1.811585 -16.166159]
LA_0045,DF_E_4701119,low_ogg,asvspoof,A08,spoof,notrim,eval,neural_vocoder_nonautoregressive,-,-,-,-,[37.713932  6.327849],[-20.7703     14.7710085],[ 16.659567 -83.57954 ]
TEF1,DF_E_4431843,nocodec,vcc2020,Task1-team19,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team19,MF,E,[14.798713 70.17488 ],[-10.306887 -19.75561 ],[-14.49308  74.78138]
LA_0013,DF_E_2209743,low_ogg,asvspoof,A16,spoof,notrim,eval,waveform_concatenation,-,-,-,-,[82.19103 32.214  ],[-27.740044    2.0271912],[-11.683627    4.5512595]
LA_0004,DF_E_4129151,low_m4a,asvspoof,A16,spoof,notrim,progress,waveform_concatenation,-,-,-,-,[-13.639737 -65.41729 ],[47.47681  13.799927],[-62.753117   9.568643]
TFM1,DF_E_2117031,low_ogg,vcc2020,Task2-team20,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team20,FM,F,[-21.174267   -4.2168875],[33.405735 16.481169],[-28.231836 -67.160774]
LA_0006,DF_E_4231386,low_ogg,asvspoof,A18,spoof,notrim,eval,traditional_vocoder,-,-,-,-,[-52.112633 -63.07153 ],[-50.311455  34.40109 ],[ 36.206112 -78.30356 ]
VCC2TM1,DF_E_3319468,low_mp3,vcc2018,HUB-N16,spoof,notrim,eval,traditional_vocoder,HUB,N16,FM,-,[-46.916996 -47.85637 ],[45.234512 38.89238 ],[-33.023758  18.276466]
VCC2TM2,DF_E_3043331,mp3m4a,vcc2018,HUB-D04,spoof,notrim,eval,traditional_vocoder,HUB,D04,MM,-,[35.26749    6.2176905],[ 5.6971955 13.865841 ],[ 80.381935 -28.94102 ]
TEM2,DF_E_3499196,high_mp3,vcc2020,Task1-team19,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team19,FM,E,[-68.12627   13.663107],[-41.858025   14.8482065],[-25.695398 -34.792637]
LA_0040,DF_E_2610818,oggm4a,asvspoof,A10,spoof,notrim,eval,neural_vocoder_autoregressive,-,-,-,-,[ 42.047314 -39.05425 ],[-39.34189 -68.14867],[42.105503 77.15401 ]
LA_0044,DF_E_4842078,high_ogg,asvspoof,A07,spoof,notrim,eval,traditional_vocoder,-,-,-,-,[-31.68265  -30.366995],[ 23.643028 -17.79807 ],[ 45.69636 -63.79715]
TEM1,DF_E_2646434,high_mp3,vcc2020,Task1-team03,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team03,MM,E,[-81.53094     5.2951493],[52.170563 18.591917],[-23.186813  37.33098 ]
LA_0005,DF_E_3096354,low_m4a,asvspoof,A13,spoof,notrim,progress,traditional_vocoder,-,-,-,-,[-13.7694025   9.935804 ],[51.580612 26.942543],[51.91013  42.500847]
TMM1,DF_E_4357703,high_mp3,vcc2020,Task2-team15,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team15,FM,M,[17.13528  45.658806],[-45.698895  10.2407  ],[ 18.266521 -56.485756]
TMM1,DF_E_3176003,high_m4a,vcc2020,Task2-team05,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team05,FM,M,[ 44.0278  -84.50813],[ 44.354725 -20.842592],[65.38557   9.139165]
LA_0042,DF_E_2893741,oggm4a,asvspoof,A11,spoof,notrim,eval,traditional_vocoder,-,-,-,-,[77.65897  42.610115],[  0.39176145 -61.341038  ],[52.18421  43.285446]
TGF1,DF_E_4055922,high_mp3,vcc2020,Task2-team26,spoof,notrim,eval,traditional_vocoder,Task2,team26,FF,G,[-14.538734  79.69847 ],[41.80996  25.116055],[ 41.701607 -50.03998 ]
VCC2TM2,DF_E_4679686,high_ogg,vcc2018,HUB-D01,spoof,notrim,eval,traditional_vocoder,HUB,D01,FM,-,[ 67.89948  -44.182926],[63.43118 39.81518],[ 46.48049 -37.33666]
TEF2,DF_E_3973023,high_ogg,vcc2020,Task1-team09,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team09,MF,E,[-37.161877 -27.127598],[53.264297 25.28338 ],[ 6.258247 94.241295]
LA_0033,DF_E_3312758,low_mp3,asvspoof,A15,spoof,notrim,progress,neural_vocoder_autoregressive,-,-,-,-,[-40.38603  -17.509773],[-37.275738 -37.52515 ],[-42.356728 -78.26176 ]
TMF1,DF_E_4516818,oggm4a,vcc2020,Task2-team24,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team24,FF,M,[ 61.13305 -52.20395],[ 36.669464 -53.916176],[-36.42094   16.943449]
TMM1,DF_E_3637408,low_ogg,vcc2020,Task2-team31,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team31,MM,M,[22.996267   1.1601989],[18.238419  -7.5358334],[ 38.404274 -77.84654 ]
TFF1,DF_E_3022703,high_ogg,vcc2020,Task2-team20,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team20,MF,F,[-27.651651 -65.01361 ],[ 13.287422 -30.739796],[ 11.979117 -63.091846]
VCC2TF1,DF_E_2525221,low_m4a,vcc2018,SPO-N10,spoof,notrim,eval,neural_vocoder_autoregressive,SPO,N10,FF,-,[-35.244385 -73.20622 ],[53.564    23.269457],[-39.746735  35.015812]
TMF1,DF_E_2089736,high_m4a,vcc2020,Task2-team32,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team32,FF,M,[-15.5208235   5.9567566],[14.292349 85.34949 ],[-38.549313 -33.500763]
TEF1,DF_E_2370686,mp3m4a,vcc2020,Task1-team04,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team04,FF,E,[-48.47997 -50.18019],[-33.739025 -11.78103 ],[31.766823 38.33042 ]
VCC2TF1,DF_E_3170684,high_mp3,vcc2018,HUB-N11,spoof,notrim,eval,traditional_vocoder,HUB,N11,FF,-,[39.1289   -6.028143],[59.312313 32.843483],[-66.15525 -43.46804]
VCC2TF2,DF_E_2484002,nocodec,vcc2018,HUB-N18,spoof,notrim,eval,traditional_vocoder,HUB,N18,FF,-,[-81.43169  -29.337059],[-28.56365   -6.793291],[  5.277735 -16.031096]
VCC2TF2,DF_E_2298007,nocodec,vcc2018,HUB-N13,spoof,notrim,eval,traditional_vocoder,HUB,N13,FF,-,[-40.32452   33.841423],[ 34.968513 -49.943478],[ 4.7654886 59.226044 ]
VCC2TF2,DF_E_3054528,high_mp3,vcc2018,HUB-N14,spoof,notrim,eval,traditional_vocoder,HUB,N14,MF,-,[ 4.6692605 44.90668  ],[65.6704   24.523987],[-3.948275 -4.498468]
LA_0011,DF_E_3931723,oggm4a,asvspoof,A08,spoof,notrim,eval,neural_vocoder_nonautoregressive,-,-,-,-,[  4.536517 -42.34097 ],[11.346831  -1.5978593],[-19.924072 -38.543163]
LA_0005,DF_E_3493792,mp3m4a,asvspoof,A07,spoof,notrim,eval,traditional_vocoder,-,-,-,-,[ 12.52866  -51.470028],[ 28.538795 -22.54335 ],[26.215963   4.8243375]
TEF2,DF_E_3656855,low_m4a,vcc2020,Task1-team18,spoof,notrim,eval,unknown,Task1,team18,MF,E,[-38.54908  -26.770737],[-0.29596236 -5.0660276 ],[ 31.864176  -13.9832115]
LA_0001,DF_E_2944474,high_mp3,asvspoof,-,bonafide,trim,hidden,bonafide,-,-,-,-,[-35.650715  24.981503],[ 7.9195633 80.8322   ],[42.350204 73.87865 ]
LA_0005,DF_E_3184366,low_ogg,asvspoof,A14,spoof,notrim,eval,traditional_vocoder,-,-,-,-,[-81.71897   27.775684],[ 10.6363125 -29.633316 ],[-12.212067 -37.12601 ]
LA_0022,DF_E_4855404,mp3m4a,asvspoof,A18,spoof,notrim,eval,traditional_vocoder,-,-,-,-,[90.06897    0.9648332],[-32.570442  31.561602],[-58.563816 -52.14181 ]
LA_0009,DF_E_3019312,low_m4a,asvspoof,A19,spoof,notrim,progress,traditional_vocoder,-,-,-,-,[-63.047493 -34.049282],[-57.289726  20.943178],[-94.28571     2.1398635]
VCC2TF2,DF_E_2051100,low_ogg,vcc2018,HUB-N13,spoof,notrim,eval,traditional_vocoder,HUB,N13,FF,-,[46.741726 28.293682],[17.753407  4.226598],[73.68472  11.134444]
VCC2TF2,DF_E_4993244,low_mp3,vcc2018,HUB-D04,spoof,notrim,eval,traditional_vocoder,HUB,D04,MF,-,[ 61.626987 -51.944138],[61.342796 17.09545 ],[29.882378 40.472767]
