utt,Speaker name,TTS or VC,Is multi-speaker?,Language,Gender,Age,Noise type 1,Noise type 2,Noise type 3,Source link,Collector,label
FreddieMercury_AIcover_oortCloud_4,Freddie Mercury,VC,No,Mixed,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=ARgjMf-76-c,WOONGJAE LEE,spoof
pullnpush_7,TTS_pullnpush,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=M347-xlaVqs,WOONGJAE LEE,spoof
typecast_changbae_1,TTS_changbae,TTS,No,Korean,Male,Elder,-,-,-,https://app.typecast.ai/ko/editor/652e2efd0307cc9327e94b41,WOONGJAE LEE,spoof
20230919_ytn_weather_5,WEATHER CASTER,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=QmLCe6Io-TA,KWONWOO JEONG,bonafide
20230925_sbsnews6_3,SON SEUNGWOOK,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=4jsXXJs2t5g,KWONWOO JEONG,bonafide
bdns_lgtwins_10,MOON SANGHOON,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=7E4DfSFMcwU,KWONWOO JEONG,bonafide
TED_Rabbit_7,Alex Gendler,-,No,English,Male,Adult,-,-,-,https://youtu.be/XU5L4Sr93-g?si=NiVc1CPHATlgRSjw,INSEOK LEE,bonafide
230920_SBS_japan_5,Park Sang Jin,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=KjmbHByLnT0,WOONGJAE LEE,bonafide
YTNScienceToday_Love_10,Lee HyoJong,-,No,Korean,Male,Adult,Music,Sound effect,-,https://youtu.be/2KKk6ySUPjI?si=AoQyUOl42uqsx5dx,INSEOK LEE,bonafide
Double_6,TTS_Baseball,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/SSgZZeVSFBs?si=7wHRf6tDCCSr6Xzk,INSEOK LEE,spoof
KBS_Soccer_Barain_5,Nam HyunJong,-,No,Korean,Male,Adult,Music,Crowded,-,https://youtu.be/k8duJ8fZTgA?si=lxYjhy3uhkb8MgAl,INSEOK LEE,bonafide
pullnpush_3,TTS_pullnpush,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=M347-xlaVqs,WOONGJAE LEE,spoof
2020president_chusuk_2,MOON JAEIN,-,No,Korean,Male,Adult,Music,Random noise,-,https://www.youtube.com/watch?v=-9XooEGlqOw,KWONWOO JEONG,bonafide
GGTIP_10_8,TTS_GGTIP,TTS,Yes,Korean,Male,Mix,-,-,-,https://youtu.be/9K9VocpSsgU?si=o708JGHGOSV3UECz,INSEOK LEE,spoof
elle_yeji_5,YEJI,-,No,Korean,Female,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=f3-sOcpMexE,KWONWOO JEONG,bonafide
230723_Physical_3,Kim Egg,-,No,Korean,Male,Adult,Sound effect,-,-,https://www.youtube.com/watch?v=iG4gb4UMV8g,WOONGJAE LEE,bonafide
YounHa_AIcover_sim_4,YounHa,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=LWPf7l3-W_A,WOONGJAE LEE,spoof
20230927_sbsmorning_8,GO HYUNJUN,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=WlZ-5HVm4O0,KWONWOO JEONG,bonafide
TAKGUYAKI_4,TTS_TAKGUYAKI,TTS,Yes,Korean,Female,Adult,Music,Crowded,-,https://www.youtube.com/watch?v=mK66dKyyzm4,WOONGJAE LEE,spoof
20230925_sbsnews4_10,AHN SANGWOO,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=l-X7q9Pu4iQ,KWONWOO JEONG,bonafide
GScampus_3,GScampus,TTS,No,Korean,Female,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=eXcekCx7Bxo,WOONGJAE LEE,spoof
TAKGUYAKI_8,TTS_TAKGUYAKI,TTS,No,Korean,Female,Adult,Music,Crowded,-,https://www.youtube.com/watch?v=mK66dKyyzm4,WOONGJAE LEE,spoof
20210702_AI_ANCHOR_9,KIM JOOHA,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=cHo83zJ5CZk,KWONWOO JEONG,spoof
World_Running_Time_10,World_Running_Time,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=4bd32kKBGhs,WOONGJAE LEE,spoof
AI_PARKMYUNGSOO_NEWJEANS_3,PARK MYUNGSOO,VC,No,Mixed,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=aI7C5zK_2Ns,KWONWOO JEONG,spoof
Obama_DNC_Speech_1,Obama,-,No,English,Male,Adult,Music,Reverb,-,https://youtu.be/t7pc2j5OGp8?si=6pd_oyj8ZCWG8hsI,INSEOK LEE,bonafide
Frontyard_4,TTS_issue,TTS,No,Korean,Female,Teenager,Music,Random noise,-,https://www.youtube.com/watch?v=eXcekCx7Bxo,INSEOK LEE,spoof
chuucandoit_hair_9,Chuu ( Kim Ji Woo ),-,Yes,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=7MihoRON4ew,WOONGJAE LEE,bonafide
pullnpush_4,TTS_pullnpush,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=M347-xlaVqs,WOONGJAE LEE,spoof
kkultube_6,TTS_kkultube,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=Vo9B_QDr0Vc,WOONGJAE LEE,spoof
Obama_DNC_Speech_4,Obama,-,No,English,Male,Adult,Music,Reverb,Crowded,https://youtu.be/t7pc2j5OGp8?si=6pd_oyj8ZCWG8hsI,INSEOK LEE,bonafide
ESPN_POGBA_5,FRANK,-,No,English,Male,Elder,-,-,-,https://youtu.be/JdIZ7cBvmu8?si=jl_gXcqGS70fLg5Y,INSEOK LEE,bonafide
230922_ImYuJin_6,Im YuJin,-,No,Korean,Female,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=oWPOODlfZMU,WOONGJAE LEE,bonafide
brothers_karamazov_maleAI_2,TTS_MALE,TTS,No,English,Male,Adult,-,-,-,Text to Speech Program,KWONWOO JEONG,spoof
TED_Cuddly_6,Dan Finkel,-,No,English,Male,Adult,Random noise,-,-,https://youtu.be/z-ZEfxAL9SI?si=ELtooN9Nlz1SMAHp,INSEOK LEE,bonafide
YTNScienceToday_Love_8,Lee HyoJong,-,No,Korean,Male,Adult,Music,-,-,https://youtu.be/2KKk6ySUPjI?si=AoQyUOl42uqsx5dx,INSEOK LEE,bonafide
AhnJiyoung_AIvoice_thorn_8,AhnJiyoung,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=E8uGWfCLe7I&list=PLd3BT7SpH7glxZNzZ3YtOKEWaWUhskaWv&index=6,WOONGJAE LEE,spoof
221124_Hansal_6,HaRu,-,No,Korean,Female,Adult,Random noise,-,-,https://www.youtube.com/watch?v=EGegU_bsZMs,WOONGJAE LEE,bonafide
ggondaehee_moonseyoon_4,Moon Se Yoon,-,No,Korean,Male,Adult,Reverb,-,-,https://www.youtube.com/watch?v=nXdwi_PS2p8,WOONGJAE LEE,bonafide
20200908_chungju_6,KIM SUNTAE,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=NbHVvd82bsE,KWONWOO JEONG,bonafide
bbc_news_korea_northkorea_2,Jean Mackenzie,-,No,English,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=R8BXubXr5qQ,WOONGJAE LEE,bonafide
SportsOneChaser_10,TTS_SportsOneChaser,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=eEm-nvXFzsE,WOONGJAE LEE,spoof
baseballgame_8,SPORT CASTER,-,Yes,Korean,Male,Adult,Crowded,-,-,https://m.sports.naver.com/video/1106698,KWONWOO JEONG,bonafide
20230927_sbsmorning_4,GO HYUNJUN,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=WlZ-5HVm4O0,KWONWOO JEONG,bonafide
ggondaehee_moonseyoon_6,Moon Se Yoon,-,No,Korean,Male,Adult,Reverb,-,-,https://www.youtube.com/watch?v=nXdwi_PS2p8,WOONGJAE LEE,bonafide
BrunoMars_Hypeboy_4,Bruno Mars,VC,No,Mixed,Male,Adult,Music,-,-,https://youtu.be/ge0Lw5I1Tw8?si=VRepHqLMng0J5AM8,INSEOK LEE,spoof
YumiPick_8,TTS_Chutul,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/5_U7HiM_ZGE?si=a6Wh79Y-9N51GhZS,INSEOK LEE,spoof
World_Running_Time_8,World_Running_Time,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=4bd32kKBGhs,WOONGJAE LEE,spoof
2022_03_13_AI_WEATHER_3,YOO SEUNGMIN,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=E1XjlH0eiCM,KWONWOO JEONG,spoof
20230925_ytnweather_6,YOON SUBIN,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=OMVqiMlq5dY,KWONWOO JEONG,bonafide
201127_ItalyFabri_7,Fabri,-,No,Mixed,Male,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=uhJpo8si6-4,WOONGJAE LEE,bonafide
2022_01_21_AI_YOON_2,YOON SUKYOUL,TTS,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=KUNWa5UjxSg,KWONWOO JEONG,spoof
20230913_sbs_news_militaryminister_5,MALE NEWSCASTER,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=NdQ0pVzHkjg,KWONWOO JEONG,bonafide
YounHa_AIcover_sim_9,YounHa,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=LWPf7l3-W_A,WOONGJAE LEE,spoof
2021_11_22_AI_WEATHER_1,YOO SEUNGMIN,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=KRpUZzI-sI0,KWONWOO JEONG,spoof
Conan_WhiteHouseSpeech_1,Conan,-,No,English,Male,Adult,Crowded,Reverb,-,https://youtu.be/mAMN2ffEUBc?si=M-J1s6UXU0azTzrH,INSEOK LEE,bonafide
230511_DexInterView_9,Dex,-,No,Korean,Male,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=WzOrmd4kMqo,WOONGJAE LEE,bonafide
choigangbaseball_talk_9_8,Jung YongGum,-,No,Korean,Male,Adult,Music,Crowded,Sound effect,https://youtu.be/tQEXsNWLF5g?si=z47ch3ZY0CO1tonY,INSEOK LEE,bonafide
youquiz_EP191_4,Yoo Jae Seok,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=chXZVXYTVU4,WOONGJAE LEE,bonafide
BrunoMars_AIcover_EentHorizon_5,Bruno Mars,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=m5mQ2aL2Mkg,WOONGJAE LEE,spoof
KBS_Soccer_Barain_1,Lee YoungPyo,-,No,Korean,Male,Adult,Music,-,-,https://youtu.be/k8duJ8fZTgA?si=lxYjhy3uhkb8MgAl,INSEOK LEE,bonafide
Mark_Zuckerberg_Harvard_Address_2,Mark Zuckerberg,-,No,English,Male,Adult,Music,-,-,https://youtu.be/C5pPsmqwEis?si=nAFaO_bgwNUjAXZr,INSEOK LEE,bonafide
KwonEunBi_4,TTS_Human_Addict,TTS,No,Korean,Female,Adult,Music,-,-,https://youtu.be/Bxmnp2fzf4g?si=8lKrCLJqyPpqekFb,INSEOK LEE,spoof
Yonsei_1,TTS_Dream,TTS,No,Korean,Male,Adult,Music,-,-,https://youtube.com/shorts/eQq13HHCD28?si=wHwMClvf_peHRsYS,INSEOK LEE,spoof
nbaissue_6,nbdeokhoo,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=NeMWHCo8bYM,INSEOK LEE,bonafide
20230507_chuninbeom_7,CHUN INBEOM,-,No,Korean,Male,Elder,Random noise,-,-,https://www.youtube.com/watch?v=XnkU2__-S3I,KWONWOO JEONG,bonafide
hotsikdang_ramen_7,Kim Seon eung,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=HuJnbybtB0o,WOONGJAE LEE,bonafide
kkultube_5,TTS_kkultube,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=Vo9B_QDr0Vc,WOONGJAE LEE,spoof
BrunoMars_AIcover_EentHorizon_4,Bruno Mars,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=m5mQ2aL2Mkg,WOONGJAE LEE,spoof
LOL_Combi_7,TTS_ByungChoon,TTS,No,Korean,Male,Adult,Music,Sound effect,-,https://youtu.be/AttUNwGaqbE?si=EDpth6-4bzaLrwV-,INSEOK LEE,spoof
KimDongYull_EveryMoment_9,KimDongYull,VC,No,Korean,Male,Adult,Music,-,-,https://youtu.be/U-AlTQPpPfs?si=NXrqplUFb4lEhVia,INSEOK LEE,spoof
230921_GAMST_ManchesterUnited_5,GAMST,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=5S8HBc6Q2Ng,WOONGJAE LEE,bonafide
230913_SBSNEWS_JOB_8,Jeung BanSeok,-,No,Korean,Male,Adult,Random noise,-,-,https://youtu.be/LdPFrXNDxgk?si=hu8qiMSvq8j_S4XM,INSEOK LEE,bonafide
230907_MBC_BREXIT_5,Nam HyungSeok,-,No,Korean,Male,Adult,Music,Crowded,-,https://youtu.be/d9rWp3rYolA?si=yatFrAjjZ8Pm6kc5,INSEOK LEE,bonafide
World_Running_Time_7,World_Running_Time,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=4bd32kKBGhs,WOONGJAE LEE,spoof
JangBeomJune_AIcover_monologue_7,JangBeomJune,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=uD79n8tjETs&list=PLd3BT7SpH7gmGQCATURscUYrwPyKx8x8A,WOONGJAE LEE,spoof
choigangbaseball_talk_9_7,Jung YiYoon,-,No,Korean,Male,Adult,Music,Crowded,-,https://youtu.be/tQEXsNWLF5g?si=z47ch3ZY0CO1tonY,INSEOK LEE,bonafide
230920_SBS_japan_8,Park Sang Jin,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=KjmbHByLnT0,WOONGJAE LEE,bonafide
parkeunbin_interview_6,PARK EUN BIN,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=3oob_1cAvRI,KWONWOO JEONG,bonafide
230926_HanJuneTV_2,HanJune,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=qu9OqX_-3NU,WOONGJAE LEE,bonafide
kimjungeun_lol_9,KimJungEun,TTS,No,Korean,Male,Adult,Reverb,-,-,https://youtu.be/XtJ45TbTM10?si=8_LMeExbGlFAB4WE,INSEOK LEE,spoof
footballmagazine365_3,TTS_footballmagazine367,TTS,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=GE8pfxQ2Whk,WOONGJAE LEE,spoof
KimDongYull_EveryMoment_6,KimDongYull,VC,No,Korean,Male,Adult,Music,-,-,https://youtu.be/U-AlTQPpPfs?si=NXrqplUFb4lEhVia,INSEOK LEE,spoof
20230928_handonghoon_9,HAN DONGHOON,-,No,Korean,Male,Adult,Random noise,Sound effect,-,https://www.youtube.com/watch?v=YPDeL3eb0sM,KWONWOO JEONG,bonafide
20230925_sbsnews7_5,KIM DOGYUN,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=jP-t-Y59gzs,KWONWOO JEONG,bonafide
jtbc_news_saban_2,NEWS CASTER,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=WyU1XWd5_lE,WOONGJAE LEE,bonafide
TED_BridgeRiddle_4,Alex Gendler,-,No,English,Male,Adult,Music,-,-,https://youtu.be/7yDmGnA8Hw0?si=24emSO9V9E9YLTJz,INSEOK LEE,bonafide
AhnJiyoung_AIvoice_thorn_3,AhnJiyoung,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=E8uGWfCLe7I&list=PLd3BT7SpH7glxZNzZ3YtOKEWaWUhskaWv&index=6,WOONGJAE LEE,spoof
20230927_ytnweather_4,WON LEE DA,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=L-I_XTjBax8,KWONWOO JEONG,bonafide
Chutul_Cookie_3,TTS_Chutul,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/dauKQH6capM?si=ui-88PuWWOU1qgNT,INSEOK LEE,spoof
230914_YTN_Yeogabu_8,Kim Hyun-A,-,No,Korean,Female,Adult,Random noise,Crowded,-,https://youtu.be/9_5LaAdEgEI?si=ilbiXnL1gzRC_WWf,INSEOK LEE,bonafide
TED_benifits_of_bilingual_10,Mia Nacamulli,-,No,English,Female,Adult,-,-,-,https://youtu.be/MMmOLN5zBLY?si=oZ4239CxG4ekmtJ3,INSEOK LEE,bonafide
netflix_dp_2,ACTOR,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=DINCkllty6k,KWONWOO JEONG,bonafide
pullnpush_1,TTS_pullnpush,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=M347-xlaVqs,WOONGJAE LEE,spoof
TOTLIV_INTERVIEW_4,Ange Postecoglou,-,No,English,Male,Adult,Random noise,-,-,https://youtu.be/-CLG0ID3KFo?si=WyWE83ZJkEqXNP6F,INSEOK LEE,bonafide
2022_01_21_AI_YOON_4,YOON SUKYOUL,TTS,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=KUNWa5UjxSg,KWONWOO JEONG,spoof
230913_SBSNEWS_JOB_5,Jeung BanSeok,-,No,Korean,Male,Adult,-,-,-,https://youtu.be/LdPFrXNDxgk?si=hu8qiMSvq8j_S4XM,INSEOK LEE,bonafide
JangBeomJune_AIcover_monologue_5,JangBeomJune,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=uD79n8tjETs&list=PLd3BT7SpH7gmGQCATURscUYrwPyKx8x8A,WOONGJAE LEE,spoof
230714_Workman_2,JangSeoungGyu,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=eVyBWHsIHdU,WOONGJAE LEE,bonafide
KimDongYull_EveryMoment_10,KimDongYull,VC,No,Korean,Male,Adult,Music,-,-,https://youtu.be/U-AlTQPpPfs?si=NXrqplUFb4lEhVia,INSEOK LEE,spoof
MissYou_ImJaeBum_2,ImJaeBum,VC,No,Korean,Male,Adult,Music,-,-,https://youtu.be/cOMlxeng9D0?si=f-dxjlFyhYVc42aR,INSEOK LEE,spoof
G-Dragon_AIvoice_firstlove_9,G-Dragon,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=h8qRj3ti_rw&list=PLdZvmNDhnFxtlF4hzxizMFtQEDLoQoL9M&index=35,WOONGJAE LEE,spoof
20230927_handonghoon_5,HAN DONGHOON,-,No,Korean,Male,Adult,Sound effect,-,-,https://www.youtube.com/watch?v=MNo7eHMkkuw,KWONWOO JEONG,bonafide
230914_YTN_Yeogabu_9,Kim Hyun-A,-,No,Korean,Female,Adult,Random noise,Crowded,-,https://youtu.be/9_5LaAdEgEI?si=ilbiXnL1gzRC_WWf,INSEOK LEE,bonafide
YTN_allinsoccer_7,NEWS CASTER,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=Ip6LVStj-sA,WOONGJAE LEE,bonafide
Donghyun_1,Biden,TTS,No,English,Male,Adult,Sound effect,-,-,https://youtu.be/Mpo-i4aphrM?si=Ha9147VoJ2do-u9L,INSEOK LEE,spoof
AI_SWINGS_ETA_7,MOON JIHOON,VC,No,English,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=E7UJ6c4V4Io,KWONWOO JEONG,spoof
ODG_7and5_1,"5yrs_Old_Child, 7yrs_Old_Child",-,Yes,Korean,Female,Child,Random noise,-,-,https://youtu.be/xcq1_w-57Ug?si=KY6IQoUf9VZgcHyl,INSEOK LEE,bonafide
brothers_karamazov_maleAI_1,TTS_MALE,TTS,No,English,Male,Adult,-,-,-,Text to Speech Program,KWONWOO JEONG,spoof
TED_INCA_6,Gabriel Prieto,-,No,English,Male,Adult,Music,Sound effect,-,https://youtu.be/nLgt4Z5L8XI?si=XGfEgCexhBpcPc6R,INSEOK LEE,bonafide
20230925_ytnweather_10,YOON SUBIN,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=OMVqiMlq5dY,KWONWOO JEONG,bonafide
230913_SBSNEWS_Iphone_8,Hong YongJae,-,No,Korean,Male,Adult,Music,-,-,https://youtu.be/P3mlO4XdgR8?si=fROvPcLg_cmJl4hV,INSEOK LEE,bonafide
Winter_AIcover_LoveRunAway_7,Winter,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=_VWwcfmvBHQ,WOONGJAE LEE,spoof
20230925_sbsnews3_1,REPORTER,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=GCOiANiDgqQ,KWONWOO JEONG,bonafide
IU_AIcover_dandelion_9,IU,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=Dv3c7xLoOfU,WOONGJAE LEE,spoof
